last_name, first_name,player_id,year,whiff_percent,n_ch_formatted,n_cukc_formatted,n_fc_formatted,n_fastball_formatted
Wainwright, Adam,425794,2021,19.7,6.4,33.8,22.1,59.7
Greinke, Zack,425844,2021,21.8,22.4,16.5,,45.9
Morton, Charlie,450203,2021,28.9,5.3,36.7,8.5,58
Scherzer, Max,453286,2021,34.1,14.9,9.8,9.4,56
Miley, Wade,489119,2021,23.7,27.4,3.4,46.6,64.1
Gibson, Kyle,502043,2021,24.9,13.3,9.1,14.9,61.6
Darvish, Yu,506433,2021,27.3,0,8.2,34,64.3
Anderson, Tyler,542881,2021,23.1,24.6,0.6,27,74.7
Cole, Gerrit,543037,2021,31.9,14.2,15.7,,48
DeSclafani, Anthony,543101,2021,24,10.5,8.1,,45.7
Eovaldi, Nathan,543135,2021,25.9,,18.8,12.5,54.8
Hendricks, Kyle,543294,2021,20.1,27.8,11.7,,60.5
Lyles, Jordan,543475,2021,23.5,7.3,18.3,2.8,51.2
Ryu, Hyun Jin,547943,2021,22.6,25.4,12.6,25.3,61.5
Wheeler, Zack,554430,2021,26.5,3.8,10.7,,60.6
Corbin, Patrick,571578,2021,24.8,4.2,0.9,0.3,56.7
Keuchel, Dallas,572971,2021,21,28.6,,24.4,64.4
Stroman, Marcus,573186,2021,26.7,,0.7,15.4,60.3
Gausman, Kevin,592332,2021,31.3,6,,,52.7
Ray, Robbie,592662,2021,32.3,3.6,6.1,,59.5
Montas, Frankie,593423,2021,29.6,,,,58.2
Musgrove, Joe,605397,2021,29.3,4.8,23.8,19,43.6
Nola, Aaron,605400,2021,27.9,19.8,27,1.5,53.2
Woodruff, Brandon,605540,2021,28.2,14.2,16.7,,60.4
Fried, Max,608331,2021,24.3,2.2,25.7,,50.4
Giolito, Lucas,608337,2021,32.2,31.8,2.9,,43.9
Irvin, Cole,608344,2021,19.2,22,3.3,0.1,59.9
Marquez, German,608566,2021,27,2.1,18.2,,52.9
Buehler, Walker,621111,2021,26.3,4.8,13.2,16.3,68.2
McCullers Jr., Lance,621121,2021,30.2,13.7,25,1.4,35.5
Berrios, Jose,621244,2021,23.7,13.2,30.5,,56.3
Castillo, Luis,622491,2021,28.7,30.3,,,52.3
Flexen, Chris,623167,2021,19.2,15.3,15.3,29.4,69.4
Urias, Julio,628711,2021,24.1,17.3,34.2,,48.4
Manaea, Sean,640455,2021,27.1,24.4,15.6,,60
Mahle, Tyler,641816,2021,28.4,,,4.4,57.4
Alcantara, Sandy,645261,2021,27.3,23.5,2.6,,49.8
Cease, Dylan,656302,2021,34.6,7.4,15.2,,46.8
Burnes, Corbin,669203,2021,36.5,9.6,18.3,52.3,62.9
X,Pitcher,,,23.5,,,,
